nom_produit,ancien_prix,nouveau_prix
SPEAKER BLUETOOTH HOME CINEMA LG LHD-655,140000,
BAFFLE HOME CINEMA LG  LHD-657/LHD-656 1000W,150000,
HOME CINEMA LG  LHD677,175000,
AILIANG LIGE SPEAKER BT MP3 LIGE-1717/ HB-1712 / TROLLEY /,30000,
LIGE BAFLE LIGE-1718,32500,
AILIANG LIGE SPEAKER BT MP3 LIGE-2803/LIGE-2805,15000,
AILIANG LIGE SPEAKER BT MP3 LIGE-880,12000,
AILIANG LIGE SPEAKER BT MP3 LIGE-X8,12000,
LAX-MAX BAFFLE HOME  LIS-276BT,65000,
BT SPEAKER LS06 / SPEAKER MP3 BOOMBOX LS-06 /,6000,
BAFLE SPEAKER +MP3+BT LT-0828,20000,
PORTABLE SPEAKER BAFFLE TROLLEY LT-1206,30000,
BAFLE SPEAKER TROLLEY VALISE MP3+BT LT-M800,20000,
BAFLE ORDINATEUR M18 / M17,3000,
BAFFLE MINI SPEAKER BLUETOOTH MODEL-206,5000,
SPEAKER BAFLE M-606/ 606A,22500,
BAFFLE MD112/MD116,70000,
SPEAKER WIRELESS BLUETOOTH TABLEPRO MG2,1250,
SPEAKER BLUETOOTH MP3 +FM  MINI X8UC,2000,
SPEAKER BLUETOOTH MP3 +FM  MINI X9U,2000,
TWS WIRELESS SPEAKER FINEBLUE MK-10,5000,
FINEBLUE MINI BLUETOOTH SPEAKER MK-18A,7000,
SPEAKER BAFFLE BLUETOOTH ML-53/ML-53U,5500,
SPEAKER BAFFLE BLUETOOTH ML-53U/ML-53,5500,
SPEAKER BLUETOOTH MP3 +FM  ML-70U,6500,
SPEAKER BLUETOOTH MP3 +FM  ML-75U,5500,
SPEAKER BLUETOOTH MP3 +FM  ML-83U,7500,
SPEAKER BAFLE +BLUETOOTH MR1161/1163/1165,20000,
SPEAKER BLUETOOTH MP3 +FM  MS176/MS-177BT,5500,
